txHash,tokenId,class,breedCount,withPrice,withPriceUsd,timestamp,numJapan,numMystic,numXmas,level,shouldAscend,part1,part2,part3,part4,part5,part6,summer2022,agamogenesis
0xa05dc301a1e95ecd561b26df246fe615d176293fa0c094454590255d8c41b642,376584,Aquatic,3,"0,0009","1,46",2023-09-17 19:57:52,0,0,0,1,False,eyes-clear,ears-bubblemaker,back-raven,mouth-goda,horn-kestrel,tail-post-fight,0,0
0xf0ed84d83cb1096dbccdd7624bc0b53385c8291600550cd0a8dfe05067338e2b,11086632,Bird,3,"0,0095","15,4",2023-09-17 19:57:49,0,0,0,1,False,eyes-mavis,ears-curly,back-tri-feather,mouth-peace-maker,horn-eggshell,tail-the-last-one,0,0
0xcb9b661aa2f23b023c5a06f63e0800af0ee02dac6940a1144a193d0deb7a529c,11867725,Mech,5,"0,01917392","31,08",2023-09-17 19:57:34,0,0,0,1,False,eyes-topaz,ears-innocent-lamb,back-garish-worm,mouth-square-teeth,horn-babylonia,tail-nimo,0,0
0x0440e121cea16db9de6589bc39e824dd7cf345906a72c55a277e47a1143da2dc,762281,Bug,3,"0,001","1,62",2023-09-17 19:56:55,0,0,0,1,False,eyes-kotaro,ears-ear-breathing,back-snail-shell,mouth-pincer,horn-antenna,tail-fish-snack,0,0
0x9a3c0e980f53a17919e0e2fb9cd60f37077c3b0e9e9936bdeef1a73a9865e62e,248806,Bug,5,"0,0027","4,38",2023-09-17 19:56:31,0,0,0,1,False,eyes-neo,ears-larva,back-snail-shell,mouth-pincer,horn-parasite,tail-fish-snack,0,0
0x8e9427fc1d1ad856d5e08c878e1e1d5d5b22ddb2d55b9a73f9a385d13ef97b40,11672048,Dawn,2,"0,0021","3,4",2023-09-17 19:56:25,0,0,0,1,False,eyes-little-peas,ears-innocent-lamb,back-tri-feather,mouth-axie-kiss,horn-dual-blade,tail-cottontail,0,0
0xa8650da66568c96065f695ebf53e456ab01210c3bd523fb7ea902d9167dffa86,6328880,Beast,3,"0,00249","4,04",2023-09-17 19:55:46,0,0,0,1,False,eyes-scar,ears-sidebarb,back-risky-beast,mouth-goda,horn-merry,tail-rice,0,0
0x9a04419ff2f3377a509d51766d43509fb053b25f77c9270e9af40618ba47bced,11397222,Aquatic,0,"0,004","6,48",2023-09-17 19:55:34,0,0,0,1,False,eyes-little-owl,ears-seaslug,back-goldfish,mouth-bubble-fish,horn-cactus,tail-post-fight,1,0
0x9ed17851d75ee1328d1eb858bccc5d5c4e0dd7fe7790f05d2f0264f47739ea21,11849594,Dawn,3,"0,00323359","5,24",2023-09-17 19:55:10,0,0,0,1,False,eyes-tricky,ears-innocent-lamb,back-kingfisher,mouth-silence-whisper,horn-bumpy,tail-twin-tail,0,0
0xe313bc798f3bb35ac33a324fb7993de0ad09aef29591fb4f4bb9398bf0e0c1f9,8033816,Aquatic,0,"0,0025","4,05",2023-09-17 19:55:04,0,0,0,9,True,eyes-telescope,ears-inkling,back-goldfish,mouth-lam,horn-oranda,tail-koi,0,0
0x9a65e5b7ba35edea4bf0541be1c25e7203e1ca4bebcecc07100cbeb5b289a6b9,11766760,Reptile,0,"0,014","22,69",2023-09-17 19:54:49,0,0,0,10,False,eyes-neo,ears-inkling,back-raven,mouth-doubletalk,horn-parasite,tail-tadpole,0,0
0x81dd55199a58cd23eec78e654b781d3f26c349d9d5781c5f28c10160449b59c7,389463,Plant,3,"0,0009","1,46",2023-09-17 19:54:46,0,0,0,1,False,eyes-confused,ears-lotus,back-pumpkin,mouth-serious,horn-eggshell,tail-carrot,0,0
0xe568b0fe75807c625f41024510b2a8d2497af9bf724f1f3b0b1774b749a157ef,11781466,Dusk,4,"0,014","22,69",2023-09-17 19:53:49,0,0,0,5,False,eyes-neo,ears-inkling,back-raven,mouth-doubletalk,horn-shoal-star,tail-cottontail,0,0
